,score,content,clean_teks
0,0,"Sumpah filter gw yang awalnya dibagian cerita malah pindah ke reel, gw mau foto sama temen temen gw jadi ga bisa mana pas dipindahkan juga ga bisa. Tolong kali lah ya ini update nya gak berguna sama sekali malah buat makin banyak bug aja",sumpah filter bagi cerita pindah reel foto temen temen pas pindah tolong kali ya update nya guna bug
1,0,"Awal main instagram cuma buat nyimpen data (foto & video), hampir semua data dari komputer aku pindahin ke instagram, eh tau nya malah di banned sama instagramnya. Yang punya tujuan sama, mending gak usah pake instagram, dia kalo nge banned bener2 gak bisa banding & balik. Kecewa!",main instagram nyimpen data foto video data komputer pindahin instagram eh tau nya banned instagramnya tuju mending pakai instagram nge banned bener banding kecewa
2,0,"G bisa Login ke akun awal, muncul kesalahan trs. Pdhl udah bener username nya juga sandinya, dan udah berulang"" dicoba masih tetep ga bisa",login akun muncul salah bener username nya sandi ulang coba
3,0,"Reel udh di update, besokannya lagu tidak tersedia, coba dong Instagram , kan ada kolom edit di reel nya, bantu lagu yg tidak tersedia biar bisa ganti ke lagu lain , masa reel kita jadi gk ada suaranya kan aneh",reel update besok lagu sedia coba instagram kolom edit reel nya bantu lagu sedia biar ganti lagu reel suara aneh
4,0,Kecewa si...pas di update malah jadi gak bisa login..malah akun gw gk ketemu🤦‍♂️ kalo pake ig sebelah bisa login cmn kurang ny gk bisa pake filter,kecewa sipas update loginmalah akun ketemu pakai ig belah login cmn ny pakai filter
5,0,Yang terhormat developer meta tolong di perhatikan kalau masih mau mendapat uang dari apk anda. -Terlalu sering update dan kebanyakan gak penteing. - Full bug - makan banyak space memori - apk sering mengalami kerusakan - ig explore gak relevan - banyak spam data - ig reels miskin fitur edit - hak cipta cuman buat profit saja - sangat mengecewakan - penurunan kualitas apk yang drastis di banding awal ig muncul - menyebabkan device overheat -fitur report sangat tidak relavan dan tidak efektif,hormat developer meta tolong perhati uang apk update banyak penteing full bug makan space memori apk alami rusa ig explore relevan spam data ig reels miskin fitur edit hak cipta profit kecewa turun kualitas apk drastis banding ig muncul sebab device overheat fitur lapor relavan efektif
6,0,"Sorry bintang 1,,tidak bisa update dan sudah dicoba berkali2 tidak bisa,bahkan sudah di hapus dan instal ulang juga tidak bisa,,padahal saya dowmload aplikasi lain bisa,,kenapa ini? Tolong jawab.jangan diam.saya tau kau baca tulisan ini.",sorry bintang update coba kali bisabahkan hapus instal ulang bisapadahal dowmload aplikasi bisakenapa tolong jawabjangan diamsaya tau kau baca tulis
7,0,"Saya udah mencoba berbagai cara, dari hapus data, sampek hapus apk download lagi, knp story ig saya cuman tulisan mengirim ya tidak terpost sama sekali, itupun lama banget sampek 1 hari baru bisa di batalin, sinyal kenceng, wifi kenceng, tolong ya cepet cepet di benerin ini",coba hapus data sampek hapus apk download story ig tulis kirim ya terpost itu banget sampek batalin sinyal cepat wifi cepat tolong ya cepat cepat benerin
8,0,"Kenapa saat video ig ngesave kegaleri malah berubah menjadi green screen, padahal udah beberapa kali donwload ulang masih saja seperti itu, lama lama ig jadi jelek",video ig ngesave galeri ubah green screen kali donwload ulang ig jelek
9,0,"Setelah di update malah tidak bisa mengakses akun dan ada pemberitahuan coba beberapa saat lagi,tapi bisa log in hanya di tengah malam saja. Lalu,terlalu banyak iklan yang muncul saat scrool story instagram dan buat jengkel. Terus fiturnya lebih kek kuno banget dan lag juga. Tolong untuk admin Aplikasi Instagram tolong perbaiki agar seperti dulu lagi. Thank u so much",update akses akun pemberitahuan coba lagitapi log in malam laluterlalu iklan muncul scrool story instagram jengkel fiturnya kuno banget lag tolong admin aplikasi instagram tolong baik thank much
10,0,Sudah bagus cuman masih banyak bug seperti selalu terjadi kesalahan dalam membuat story ig dan itu membuat saya kesal please ig perbaiki bug ini,bagus bug salah story ig kesal mohon ig baik bug
11,0,"Banyak bug,parah,,bagusan instagram yang dulu,,saya tidak bisa mengirim reels,up video,,,tolong di perbaiki,,katanya masalah jaringan padahal signal baik baik aja.",bugparahbagusan instagram dulusaya kirim reelsup videotolong perbaikikatanya jaring sinyal
12,0,"Pada saat masuk ke aplikasi Instagram itu kok error tidak bisa buka history ig orang dan lihat-lihat beranda,Tolong secepatnya perbaiki bug/error seperti ini😔😞🙏 Sementara saya kasih bintang 1",masuk aplikasi instagram error buka history ig orang lihatlihat berandatolong cepat baik bugerror kasih bintang
