score,content,length,Case_folded,Tokenized,Stemmed,No_Slang,No_Stop,Ready
Negatif,"Sumpah filter gw yang awalnya dibagian cerita malah pindah ke reel, gw mau foto sama temen temen gw jadi ga bisa mana pas dipindahkan juga ga bisa. Tolong kali lah ya ini update nya gak berguna sama sekali malah buat makin banyak bug aja",237,sumpah filter gw yang awalnya dibagian cerita malah pindah ke reel gw mau foto sama temen temen gw jadi ga bisa mana pas dipindahkan juga ga bisa tolong kali lah ya ini update nya gak berguna sama sekali malah buat makin banyak bug aja,"['sumpah', 'filter', 'gw', 'yang', 'awalnya', 'dibagian', 'cerita', 'malah', 'pindah', 'ke', 'reel', 'gw', 'mau', 'foto', 'sama', 'temen', 'temen', 'gw', 'jadi', 'ga', 'bisa', 'mana', 'pas', 'dipindahkan', 'juga', 'ga', 'bisa', 'tolong', 'kali', 'lah', 'ya', 'ini', 'update', 'nya', 'gak', 'berguna', 'sama', 'sekali', 'malah', 'buat', 'makin', 'banyak', 'bug', 'aja']","['sumpah', 'filter', 'saya', 'yang', 'awal', 'bagi', 'cerita', 'bahkan', 'pindah', 'ke', 'reel', 'saya', 'mau', 'foto', 'sama', 'teman', 'teman', 'saya', 'jadi', 'ga', 'bisa', 'mana', 'pas', 'pindah', 'juga', 'ga', 'bisa', 'tolong', 'kali', 'lah', 'iya', 'ini', 'update', 'nya', 'gak', 'guna', 'sama', 'sekali', 'bahkan', 'buat', 'makin', 'banyak', 'bug', 'saja']","['sumpah', 'filter', 'saya', 'yang', 'awal', 'bagi', 'cerita', 'bahkan', 'pindah', 'ke', 'reel', 'saya', 'mau', 'foto', 'sama', 'teman', 'teman', 'saya', 'jadi', 'ga', 'bisa', 'mana', 'pas', 'pindah', 'juga', 'ga', 'bisa', 'tolong', 'kali', 'lah', 'iya', 'ini', 'update', 'nya', 'gak', 'guna', 'sama', 'sekali', 'bahkan', 'buat', 'makin', 'banyak', 'bug', 'saja']","['sumpah', 'filter', 'cerita', 'pindah', 'reel', 'foto', 'teman', 'teman', 'ga', 'pas', 'pindah', 'ga', 'tolong', 'kali', 'iya', 'update', 'nya', 'gak', 'bug']",sumpah filter cerita pindah reel foto teman teman ga pas pindah ga tolong kali iya update nya gak bug
Negatif,"Awal main instagram cuma buat nyimpen data (foto & video), hampir semua data dari komputer aku pindahin ke instagram, eh tau nya malah di banned sama instagramnya. Yang punya tujuan sama, mending gak usah pake instagram, dia kalo nge banned bener2 gak bisa banding & balik. Kecewa!",281,awal main instagram cuma buat nyimpen data foto video hampir semua data dari komputer aku pindahin ke instagram eh tau nya malah di banned sama instagramnya yang punya tujuan sama mending gak usah pake instagram dia kalo nge banned bener gak bisa banding balik kecewa,"['awal', 'main', 'instagram', 'cuma', 'buat', 'nyimpen', 'data', 'foto', 'video', 'hampir', 'semua', 'data', 'dari', 'komputer', 'aku', 'pindahin', 'ke', 'instagram', 'eh', 'tau', 'nya', 'malah', 'di', 'banned', 'sama', 'instagramnya', 'yang', 'punya', 'tujuan', 'sama', 'mending', 'gak', 'usah', 'pake', 'instagram', 'dia', 'kalo', 'nge', 'banned', 'bener', 'gak', 'bisa', 'banding', 'balik', 'kecewa']","['awal', 'main', 'instagram', 'cuma', 'buat', 'nyimpen', 'data', 'foto', 'video', 'hampir', 'semua', 'data', 'dari', 'komputer', 'aku', 'pindahin', 'ke', 'instagram', 'eh', 'tahu', 'nya', 'bahkan', 'di', 'banned', 'sama', 'instagramnya', 'yang', 'punya', 'tuju', 'sama', 'lebih baik', 'gak', 'perlu', 'pakai', 'instagram', 'dia', 'kalau', 'nge', 'banned', 'benar', 'gak', 'bisa', 'banding', 'balik', 'kecewa']","['awal', 'main', 'instagram', 'cuma', 'buat', 'nyimpen', 'data', 'foto', 'video', 'hampir', 'semua', 'data', 'dari', 'komputer', 'aku', 'pindahin', 'ke', 'instagram', 'eh', 'tahu', 'nya', 'bahkan', 'di', 'banned', 'sama', 'instagramnya', 'yang', 'punya', 'tuju', 'sama', 'lebih baik', 'gak', 'perlu', 'pakai', 'instagram', 'dia', 'kalau', 'nge', 'banned', 'benar', 'gak', 'bisa', 'banding', 'balik', 'kecewa']","['main', 'instagram', 'nyimpen', 'data', 'foto', 'video', 'data', 'komputer', 'pindahin', 'instagram', 'eh', 'nya', 'banned', 'instagramnya', 'tuju', 'lebih baik', 'gak', 'pakai', 'instagram', 'nge', 'banned', 'gak', 'banding', 'kecewa']",main instagram nyimpen data foto video data komputer pindahin instagram eh nya banned instagramnya tuju lebih baik gak pakai instagram nge banned gak banding kecewa
Negatif,"G bisa Login ke akun awal, muncul kesalahan trs. Pdhl udah bener username nya juga sandinya, dan udah berulang"" dicoba masih tetep ga bisa",138,g bisa login ke akun awal muncul kesalahan trs pdhl udah bener username nya juga sandinya dan udah berulang dicoba masih tetep ga bisa,"['g', 'bisa', 'login', 'ke', 'akun', 'awal', 'muncul', 'kesalahan', 'trs', 'pdhl', 'udah', 'bener', 'username', 'nya', 'juga', 'sandinya', 'dan', 'udah', 'berulang', 'dicoba', 'masih', 'tetep', 'ga', 'bisa']","['g', 'bisa', 'login', 'ke', 'akun', 'awal', 'muncul', 'salah', 'terus', 'pdhl', 'sudah', 'benar', 'username', 'nya', 'juga', 'sandi', 'dan', 'sudah', 'ulang', 'coba', 'masih', 'tetep', 'ga', 'bisa']","['g', 'bisa', 'login', 'ke', 'akun', 'awal', 'muncul', 'salah', 'terus', 'pdhl', 'sudah', 'benar', 'username', 'nya', 'juga', 'sandi', 'dan', 'sudah', 'ulang', 'coba', 'masih', 'tetep', 'ga', 'bisa']","['g', 'login', 'akun', 'muncul', 'salah', 'pdhl', 'username', 'nya', 'sandi', 'ulang', 'coba', 'tetep', 'ga']",g login akun muncul salah pdhl username nya sandi ulang coba tetep ga
Negatif,"Reel udh di update, besokannya lagu tidak tersedia, coba dong Instagram , kan ada kolom edit di reel nya, bantu lagu yg tidak tersedia biar bisa ganti ke lagu lain , masa reel kita jadi gk ada suaranya kan aneh",210,reel udh di update besokannya lagu tidak tersedia coba dong instagram kan ada kolom edit di reel nya bantu lagu yg tidak tersedia biar bisa ganti ke lagu lain masa reel kita jadi gk ada suaranya kan aneh,"['reel', 'udh', 'di', 'update', 'besokannya', 'lagu', 'tidak', 'tersedia', 'coba', 'dong', 'instagram', 'kan', 'ada', 'kolom', 'edit', 'di', 'reel', 'nya', 'bantu', 'lagu', 'yg', 'tidak', 'tersedia', 'biar', 'bisa', 'ganti', 'ke', 'lagu', 'lain', 'masa', 'reel', 'kita', 'jadi', 'gk', 'ada', 'suaranya', 'kan', 'aneh']","['reel', 'udh', 'di', 'update', 'besok', 'lagu', 'tidak', 'sedia', 'coba', 'dong', 'instagram', 'kan', 'ada', 'kolom', 'edit', 'di', 'reel', 'nya', 'bantu', 'lagu', 'yang', 'tidak', 'sedia', 'biar', 'bisa', 'ganti', 'ke', 'lagu', 'lain', 'masa', 'reel', 'kita', 'jadi', 'gk', 'ada', 'suara', 'kan', 'aneh']","['reel', 'udh', 'di', 'update', 'besok', 'lagu', 'tidak', 'sedia', 'coba', 'dong', 'instagram', 'kan', 'ada', 'kolom', 'edit', 'di', 'reel', 'nya', 'bantu', 'lagu', 'yang', 'tidak', 'sedia', 'biar', 'bisa', 'ganti', 'ke', 'lagu', 'lain', 'masa', 'reel', 'kita', 'jadi', 'gk', 'ada', 'suara', 'kan', 'aneh']","['reel', 'udh', 'update', 'besok', 'lagu', 'sedia', 'coba', 'instagram', 'kolom', 'edit', 'reel', 'nya', 'bantu', 'lagu', 'sedia', 'biar', 'ganti', 'lagu', 'reel', 'gk', 'suara', 'aneh']",reel udh update besok lagu sedia coba instagram kolom edit reel nya bantu lagu sedia biar ganti lagu reel gk suara aneh
Negatif,Kecewa si...pas di update malah jadi gak bisa login..malah akun gw gk ketemu🤦‍♂️ kalo pake ig sebelah bisa login cmn kurang ny gk bisa pake filter,146,kecewa si pas di update malah jadi gak bisa login malah akun gw gk ketemu kalo pake ig sebelah bisa login cmn kurang ny gk bisa pake filter,"['kecewa', 'si', 'pas', 'di', 'update', 'malah', 'jadi', 'gak', 'bisa', 'login', 'malah', 'akun', 'gw', 'gk', 'ketemu', 'kalo', 'pake', 'ig', 'sebelah', 'bisa', 'login', 'cmn', 'kurang', 'ny', 'gk', 'bisa', 'pake', 'filter']","['kecewa', 'si', 'pas', 'di', 'update', 'bahkan', 'jadi', 'gak', 'bisa', 'login', 'bahkan', 'akun', 'saya', 'gk', 'ketemu', 'kalau', 'pakai', 'ig', 'belah', 'bisa', 'login', 'cmn', 'kurang', 'ny', 'gk', 'bisa', 'pakai', 'filter']","['kecewa', 'si', 'pas', 'di', 'update', 'bahkan', 'jadi', 'gak', 'bisa', 'login', 'bahkan', 'akun', 'saya', 'gk', 'ketemu', 'kalau', 'pakai', 'ig', 'belah', 'bisa', 'login', 'cmn', 'kurang', 'ny', 'gk', 'bisa', 'pakai', 'filter']","['kecewa', 'si', 'pas', 'update', 'gak', 'login', 'akun', 'gk', 'ketemu', 'pakai', 'ig', 'belah', 'login', 'cmn', 'ny', 'gk', 'pakai', 'filter']",kecewa si pas update gak login akun gk ketemu pakai ig belah login cmn ny gk pakai filter
Negatif,Yang terhormat developer meta tolong di perhatikan kalau masih mau mendapat uang dari apk anda. -Terlalu sering update dan kebanyakan gak penteing. - Full bug - makan banyak space memori - apk sering mengalami kerusakan - ig explore gak relevan - banyak spam data - ig reels miskin fitur edit - hak cipta cuman buat profit saja - sangat mengecewakan - penurunan kualitas apk yang drastis di banding awal ig muncul - menyebabkan device overheat -fitur report sangat tidak relavan dan tidak efektif,496,yang terhormat developer meta tolong di perhatikan kalau masih mau mendapat uang dari apk anda terlalu sering update dan kebanyakan gak penteing full bug makan banyak space memori apk sering mengalami kerusakan ig explore gak relevan banyak spam data ig reels miskin fitur edit hak cipta cuman buat profit saja sangat mengecewakan penurunan kualitas apk yang drastis di banding awal ig muncul menyebabkan device overheat fitur report sangat tidak relavan dan tidak efektif,"['yang', 'terhormat', 'developer', 'meta', 'tolong', 'di', 'perhatikan', 'kalau', 'masih', 'mau', 'mendapat', 'uang', 'dari', 'apk', 'anda', 'terlalu', 'sering', 'update', 'dan', 'kebanyakan', 'gak', 'penteing', 'full', 'bug', 'makan', 'banyak', 'space', 'memori', 'apk', 'sering', 'mengalami', 'kerusakan', 'ig', 'explore', 'gak', 'relevan', 'banyak', 'spam', 'data', 'ig', 'reels', 'miskin', 'fitur', 'edit', 'hak', 'cipta', 'cuman', 'buat', 'profit', 'saja', 'sangat', 'mengecewakan', 'penurunan', 'kualitas', 'apk', 'yang', 'drastis', 'di', 'banding', 'awal', 'ig', 'muncul', 'menyebabkan', 'device', 'overheat', 'fitur', 'report', 'sangat', 'tidak', 'relavan', 'dan', 'tidak', 'efektif']","['yang', 'hormat', 'developer', 'meta', 'tolong', 'di', 'perhati', 'kalau', 'masih', 'mau', 'dapat', 'uang', 'dari', 'apk', 'anda', 'terlalu', 'sering', 'update', 'dan', 'banyak', 'gak', 'penteing', 'full', 'bug', 'makan', 'banyak', 'space', 'memori', 'apk', 'sering', 'alami', 'rusa', 'ig', 'explore', 'gak', 'relevan', 'banyak', 'spam', 'data', 'ig', 'reels', 'miskin', 'fitur', 'edit', 'hak', 'cipta', 'cuman', 'buat', 'profit', 'saja', 'sangat', 'kecewa', 'turun', 'kualitas', 'apk', 'yang', 'drastis', 'di', 'banding', 'awal', 'ig', 'muncul', 'sebab', 'device', 'overheat', 'fitur', 'report', 'sangat', 'tidak', 'relavan', 'dan', 'tidak', 'efektif']","['yang', 'hormat', 'developer', 'meta', 'tolong', 'di', 'perhati', 'kalau', 'masih', 'mau', 'dapat', 'uang', 'dari', 'apk', 'anda', 'terlalu', 'sering', 'update', 'dan', 'banyak', 'gak', 'penteing', 'full', 'bug', 'makan', 'banyak', 'space', 'memori', 'apk', 'sering', 'alami', 'rusa', 'ig', 'explore', 'gak', 'relevan', 'banyak', 'spam', 'data', 'ig', 'reels', 'miskin', 'fitur', 'edit', 'hak', 'cipta', 'cuman', 'buat', 'profit', 'saja', 'sangat', 'kecewa', 'turun', 'kualitas', 'apk', 'yang', 'drastis', 'di', 'banding', 'awal', 'ig', 'muncul', 'sebab', 'device', 'overheat', 'fitur', 'report', 'sangat', 'tidak', 'relavan', 'dan', 'tidak', 'efektif']","['hormat', 'developer', 'meta', 'tolong', 'perhati', 'uang', 'apk', 'update', 'gak', 'penteing', 'full', 'bug', 'makan', 'space', 'memori', 'apk', 'alami', 'rusa', 'ig', 'explore', 'gak', 'relevan', 'spam', 'data', 'ig', 'reels', 'miskin', 'fitur', 'edit', 'hak', 'cipta', 'cuman', 'profit', 'kecewa', 'turun', 'kualitas', 'apk', 'drastis', 'banding', 'ig', 'muncul', 'device', 'overheat', 'fitur', 'report', 'relavan', 'efektif']",hormat developer meta tolong perhati uang apk update gak penteing full bug makan space memori apk alami rusa ig explore gak relevan spam data ig reels miskin fitur edit hak cipta cuman profit kecewa turun kualitas apk drastis banding ig muncul device overheat fitur report relavan efektif
Negatif,"Sorry bintang 1,,tidak bisa update dan sudah dicoba berkali2 tidak bisa,bahkan sudah di hapus dan instal ulang juga tidak bisa,,padahal saya dowmload aplikasi lain bisa,,kenapa ini? Tolong jawab.jangan diam.saya tau kau baca tulisan ini.",237,sorry bintang tidak bisa update dan sudah dicoba berkali tidak bisa bahkan sudah di hapus dan instal ulang juga tidak bisa padahal saya dowmload aplikasi lain bisa kenapa ini tolong jawab jangan diam saya tau kau baca tulisan ini,"['sorry', 'bintang', 'tidak', 'bisa', 'update', 'dan', 'sudah', 'dicoba', 'berkali', 'tidak', 'bisa', 'bahkan', 'sudah', 'di', 'hapus', 'dan', 'instal', 'ulang', 'juga', 'tidak', 'bisa', 'padahal', 'saya', 'dowmload', 'aplikasi', 'lain', 'bisa', 'kenapa', 'ini', 'tolong', 'jawab', 'jangan', 'diam', 'saya', 'tau', 'kau', 'baca', 'tulisan', 'ini']","['maaf', 'bintang', 'tidak', 'bisa', 'update', 'dan', 'sudah', 'coba', 'kali', 'tidak', 'bisa', 'bahkan', 'sudah', 'di', 'hapus', 'dan', 'instal', 'ulang', 'juga', 'tidak', 'bisa', 'padahal', 'saya', 'dowmload', 'aplikasi', 'lain', 'bisa', 'kenapa', 'ini', 'tolong', 'jawab', 'jangan', 'diam', 'saya', 'tahu', 'kamu', 'baca', 'tulis', 'ini']","['maaf', 'bintang', 'tidak', 'bisa', 'update', 'dan', 'sudah', 'coba', 'kali', 'tidak', 'bisa', 'bahkan', 'sudah', 'di', 'hapus', 'dan', 'instal', 'ulang', 'juga', 'tidak', 'bisa', 'padahal', 'saya', 'dowmload', 'aplikasi', 'lain', 'bisa', 'kenapa', 'ini', 'tolong', 'jawab', 'jangan', 'diam', 'saya', 'tahu', 'kamu', 'baca', 'tulis', 'ini']","['maaf', 'bintang', 'update', 'coba', 'kali', 'hapus', 'instal', 'ulang', 'dowmload', 'aplikasi', 'tolong', 'diam', 'baca', 'tulis']",maaf bintang update coba kali hapus instal ulang dowmload aplikasi tolong diam baca tulis
Negatif,"Saya udah mencoba berbagai cara, dari hapus data, sampek hapus apk download lagi, knp story ig saya cuman tulisan mengirim ya tidak terpost sama sekali, itupun lama banget sampek 1 hari baru bisa di batalin, sinyal kenceng, wifi kenceng, tolong ya cepet cepet di benerin ini",274,saya udah mencoba berbagai cara dari hapus data sampek hapus apk download lagi knp story ig saya cuman tulisan mengirim ya tidak terpost sama sekali itupun lama banget sampek hari baru bisa di batalin sinyal kenceng wifi kenceng tolong ya cepet cepet di benerin ini,"['saya', 'udah', 'mencoba', 'berbagai', 'cara', 'dari', 'hapus', 'data', 'sampek', 'hapus', 'apk', 'download', 'lagi', 'knp', 'story', 'ig', 'saya', 'cuman', 'tulisan', 'mengirim', 'ya', 'tidak', 'terpost', 'sama', 'sekali', 'itupun', 'lama', 'banget', 'sampek', 'hari', 'baru', 'bisa', 'di', 'batalin', 'sinyal', 'kenceng', 'wifi', 'kenceng', 'tolong', 'ya', 'cepet', 'cepet', 'di', 'benerin', 'ini']","['saya', 'sudah', 'coba', 'bagai', 'cara', 'dari', 'hapus', 'data', 'sampek', 'hapus', 'apk', 'download', 'lagi', 'kenapa', 'story', 'ig', 'saya', 'cuman', 'tulis', 'kirim', 'iya', 'tidak', 'terpost', 'sama', 'sekali', 'itu', 'lama', 'banget', 'sampek', 'hari', 'baru', 'bisa', 'di', 'batalin', 'sinyal', 'kenceng', 'wifi', 'kenceng', 'tolong', 'iya', 'cepat', 'cepat', 'di', 'benerin', 'ini']","['saya', 'sudah', 'coba', 'bagai', 'cara', 'dari', 'hapus', 'data', 'sampek', 'hapus', 'apk', 'download', 'lagi', 'kenapa', 'story', 'ig', 'saya', 'cuman', 'tulis', 'kirim', 'iya', 'tidak', 'terpost', 'sama', 'sekali', 'itu', 'lama', 'banget', 'sampek', 'hari', 'baru', 'bisa', 'di', 'batalin', 'sinyal', 'kenceng', 'wifi', 'kenceng', 'tolong', 'iya', 'cepat', 'cepat', 'di', 'benerin', 'ini']","['coba', 'hapus', 'data', 'sampek', 'hapus', 'apk', 'download', 'story', 'ig', 'cuman', 'tulis', 'kirim', 'iya', 'terpost', 'banget', 'sampek', 'batalin', 'sinyal', 'kenceng', 'wifi', 'kenceng', 'tolong', 'iya', 'cepat', 'cepat', 'benerin']",coba hapus data sampek hapus apk download story ig cuman tulis kirim iya terpost banget sampek batalin sinyal kenceng wifi kenceng tolong iya cepat cepat benerin
Negatif,"Kenapa saat video ig ngesave kegaleri malah berubah menjadi green screen, padahal udah beberapa kali donwload ulang masih saja seperti itu, lama lama ig jadi jelek",163,kenapa saat video ig ngesave kegaleri malah berubah menjadi green screen padahal udah beberapa kali donwload ulang masih saja seperti itu lama lama ig jadi jelek,"['kenapa', 'saat', 'video', 'ig', 'ngesave', 'kegaleri', 'malah', 'berubah', 'menjadi', 'green', 'screen', 'padahal', 'udah', 'beberapa', 'kali', 'donwload', 'ulang', 'masih', 'saja', 'seperti', 'itu', 'lama', 'lama', 'ig', 'jadi', 'jelek']","['kenapa', 'saat', 'video', 'ig', 'ngesave', 'galeri', 'bahkan', 'ubah', 'jadi', 'green', 'screen', 'padahal', 'sudah', 'beberapa', 'kali', 'donwload', 'ulang', 'masih', 'saja', 'seperti', 'itu', 'lama', 'lama', 'ig', 'jadi', 'jelek']","['kenapa', 'saat', 'video', 'ig', 'ngesave', 'galeri', 'bahkan', 'ubah', 'jadi', 'green', 'screen', 'padahal', 'sudah', 'beberapa', 'kali', 'donwload', 'ulang', 'masih', 'saja', 'seperti', 'itu', 'lama', 'lama', 'ig', 'jadi', 'jelek']","['video', 'ig', 'ngesave', 'galeri', 'ubah', 'green', 'screen', 'kali', 'donwload', 'ulang', 'ig', 'jelek']",video ig ngesave galeri ubah green screen kali donwload ulang ig jelek
Negatif,"Setelah di update malah tidak bisa mengakses akun dan ada pemberitahuan coba beberapa saat lagi,tapi bisa log in hanya di tengah malam saja. Lalu,terlalu banyak iklan yang muncul saat scrool story instagram dan buat jengkel. Terus fiturnya lebih kek kuno banget dan lag juga. Tolong untuk admin Aplikasi Instagram tolong perbaiki agar seperti dulu lagi. Thank u so much",369,setelah di update malah tidak bisa mengakses akun dan ada pemberitahuan coba beberapa saat lagi tapi bisa log in hanya di tengah malam saja lalu terlalu banyak iklan yang muncul saat scrool story instagram dan buat jengkel terus fiturnya lebih kek kuno banget dan lag juga tolong untuk admin aplikasi instagram tolong perbaiki agar seperti dulu lagi thank u so much,"['setelah', 'di', 'update', 'malah', 'tidak', 'bisa', 'mengakses', 'akun', 'dan', 'ada', 'pemberitahuan', 'coba', 'beberapa', 'saat', 'lagi', 'tapi', 'bisa', 'log', 'in', 'hanya', 'di', 'tengah', 'malam', 'saja', 'lalu', 'terlalu', 'banyak', 'iklan', 'yang', 'muncul', 'saat', 'scrool', 'story', 'instagram', 'dan', 'buat', 'jengkel', 'terus', 'fiturnya', 'lebih', 'kek', 'kuno', 'banget', 'dan', 'lag', 'juga', 'tolong', 'untuk', 'admin', 'aplikasi', 'instagram', 'tolong', 'perbaiki', 'agar', 'seperti', 'dulu', 'lagi', 'thank', 'u', 'so', 'much']","['telah', 'di', 'update', 'bahkan', 'tidak', 'bisa', 'akses', 'akun', 'dan', 'ada', 'pemberitahuan', 'coba', 'beberapa', 'saat', 'lagi', 'tapi', 'bisa', 'log', 'in', 'hanya', 'di', 'tengah', 'malam', 'saja', 'lalu', 'terlalu', 'banyak', 'iklan', 'yang', 'muncul', 'saat', 'scrool', 'story', 'instagram', 'dan', 'buat', 'jengkel', 'terus', 'fiturnya', 'lebih', 'seperti', 'kuno', 'banget', 'dan', 'lag', 'juga', 'tolong', 'untuk', 'admin', 'aplikasi', 'instagram', 'tolong', 'baik', 'agar', 'seperti', 'dulu', 'lagi', 'thank', 'kamu', 'so', 'much']","['telah', 'di', 'update', 'bahkan', 'tidak', 'bisa', 'akses', 'akun', 'dan', 'ada', 'pemberitahuan', 'coba', 'beberapa', 'saat', 'lagi', 'tapi', 'bisa', 'log', 'in', 'hanya', 'di', 'tengah', 'malam', 'saja', 'lalu', 'terlalu', 'banyak', 'iklan', 'yang', 'muncul', 'saat', 'scrool', 'story', 'instagram', 'dan', 'buat', 'jengkel', 'terus', 'fiturnya', 'lebih', 'seperti', 'kuno', 'banget', 'dan', 'lag', 'juga', 'tolong', 'untuk', 'admin', 'aplikasi', 'instagram', 'tolong', 'baik', 'agar', 'seperti', 'dulu', 'lagi', 'thank', 'kamu', 'so', 'much']","['update', 'akses', 'akun', 'pemberitahuan', 'coba', 'log', 'in', 'malam', 'iklan', 'muncul', 'scrool', 'story', 'instagram', 'jengkel', 'fiturnya', 'kuno', 'banget', 'lag', 'tolong', 'admin', 'aplikasi', 'instagram', 'tolong', 'thank', 'so', 'much']",update akses akun pemberitahuan coba log in malam iklan muncul scrool story instagram jengkel fiturnya kuno banget lag tolong admin aplikasi instagram tolong thank so much
