score,content
0,"Sumpah filter gw yang awalnya dibagian cerita malah pindah ke reel, gw mau foto sama temen temen gw jadi ga bisa mana pas dipindahkan juga ga bisa. Tolong kali lah ya ini update nya gak berguna sama sekali malah buat makin banyak bug aja"
0,"Awal main instagram cuma buat nyimpen data (foto & video), hampir semua data dari komputer aku pindahin ke instagram, eh tau nya malah di banned sama instagramnya. Yang punya tujuan sama, mending gak usah pake instagram, dia kalo nge banned bener2 gak bisa banding & balik. Kecewa!"
0,"G bisa Login ke akun awal, muncul kesalahan trs. Pdhl udah bener username nya juga sandinya, dan udah berulang"" dicoba masih tetep ga bisa"
0,"Reel udh di update, besokannya lagu tidak tersedia, coba dong Instagram , kan ada kolom edit di reel nya, bantu lagu yg tidak tersedia biar bisa ganti ke lagu lain , masa reel kita jadi gk ada suaranya kan aneh"
0,Kecewa si...pas di update malah jadi gak bisa login..malah akun gw gk ketemu🤦‍♂️ kalo pake ig sebelah bisa login cmn kurang ny gk bisa pake filter
0,Yang terhormat developer meta tolong di perhatikan kalau masih mau mendapat uang dari apk anda. -Terlalu sering update dan kebanyakan gak penteing. - Full bug - makan banyak space memori - apk sering mengalami kerusakan - ig explore gak relevan - banyak spam data - ig reels miskin fitur edit - hak cipta cuman buat profit saja - sangat mengecewakan - penurunan kualitas apk yang drastis di banding awal ig muncul - menyebabkan device overheat -fitur report sangat tidak relavan dan tidak efektif
0,"Sorry bintang 1,,tidak bisa update dan sudah dicoba berkali2 tidak bisa,bahkan sudah di hapus dan instal ulang juga tidak bisa,,padahal saya dowmload aplikasi lain bisa,,kenapa ini? Tolong jawab.jangan diam.saya tau kau baca tulisan ini."
0,"Saya udah mencoba berbagai cara, dari hapus data, sampek hapus apk download lagi, knp story ig saya cuman tulisan mengirim ya tidak terpost sama sekali, itupun lama banget sampek 1 hari baru bisa di batalin, sinyal kenceng, wifi kenceng, tolong ya cepet cepet di benerin ini"
0,"Kenapa saat video ig ngesave kegaleri malah berubah menjadi green screen, padahal udah beberapa kali donwload ulang masih saja seperti itu, lama lama ig jadi jelek"
0,"Setelah di update malah tidak bisa mengakses akun dan ada pemberitahuan coba beberapa saat lagi,tapi bisa log in hanya di tengah malam saja. Lalu,terlalu banyak iklan yang muncul saat scrool story instagram dan buat jengkel. Terus fiturnya lebih kek kuno banget dan lag juga. Tolong untuk admin Aplikasi Instagram tolong perbaiki agar seperti dulu lagi. Thank u so much"
0,Sudah bagus cuman masih banyak bug seperti selalu terjadi kesalahan dalam membuat story ig dan itu membuat saya kesal please ig perbaiki bug ini
0,"Banyak bug,parah,,bagusan instagram yang dulu,,saya tidak bisa mengirim reels,up video,,,tolong di perbaiki,,katanya masalah jaringan padahal signal baik baik aja."
0,"Pada saat masuk ke aplikasi Instagram itu kok error tidak bisa buka history ig orang dan lihat-lihat beranda,Tolong secepatnya perbaiki bug/error seperti ini😔😞🙏 Sementara saya kasih bintang 1"
